Player,,,Team
Jeff Green,"Jeff Green,","if Jeff Green then UTH else end,",UTH
Delon Wright,"Delon Wright,","if Delon Wright then DAL else end,",DAL
C.J. Miles,"C.J. Miles,","if C.J. Miles then WAS else end,",WAS
Austin Rivers,"Austin Rivers,","if Austin Rivers then HOU else end,",HOU
George Hill,"George Hill,","if George Hill then MIL else end,",MIL
Frank Kaminsky,"Frank Kaminsky,","if Frank Kaminsky then PHO else end,",PHO
Anfernee Simons,"Anfernee Simons,","if Anfernee Simons then POR else end,",POR
Cody Zeller,"Cody Zeller,","if Cody Zeller then CHA else end,",CHA
Taj Gibson,"Taj Gibson,","if Taj Gibson then NYK else end,",NYK
Tristan Thompson,"Tristan Thompson,","if Tristan Thompson then CLE else end,",CLE
Landry Shamet,"Landry Shamet,","if Landry Shamet then LAC else end,",LAC
Larry Nance Jr.,"Larry Nance Jr.,","if Larry Nance Jr. then CLE else end,",CLE
Monte Morris,"Monte Morris,","if Monte Morris then DEN else end,",DEN
Davis Bertans,"Davis Bertans,","if Davis Bertans then WAS else end,",WAS
Tony Snell,"Tony Snell,","if Tony Snell then DET else end,",DET
Gerald Green,"Gerald Green,","if Gerald Green then HOU else end,",HOU
Patrick Beverley,"Patrick Beverley,","if Patrick Beverley then LAC else end,",LAC
Patty Mills,"Patty Mills,","if Patty Mills then SAS else end,",SAS
Courtney Lee,"Courtney Lee,","if Courtney Lee then DAL else end,",DAL
Josh Hart,"Josh Hart,","if Josh Hart then NOR else end,",NOR
Kevon Looney,"Kevon Looney,","if Kevon Looney then GSW else end,",GSW
Brandon Clarke,"Brandon Clarke,","if Brandon Clarke then MEM else end,",MEM
Trey Lyles,"Trey Lyles,","if Trey Lyles then SAS else end,",SAS
Aaron Holiday,"Aaron Holiday,","if Aaron Holiday then IND else end,",IND
Robin Lopez,"Robin Lopez,","if Robin Lopez then MIL else end,",MIL
Trey Burke,"Trey Burke,","if Trey Burke then PHI else end,",PHI
Trevor Ariza,"Trevor Ariza,","if Trevor Ariza then SAC else end,",SAC
Al-Farouq Aminu,"Al-Farouq Aminu,","if Al-Farouq Aminu then ORL else end,",ORL
Dante Exum,"Dante Exum,","if Dante Exum then UTH else end,",UTH
